LEX_CODE,UNIT_NAME,OLDEST_AGE_TRANS,OLDEST_AGE_BROAD_TERM,YOUNGEST_AGE_TRANS,YOUNGEST_AGE_BROAD_TERM,OLDEST_MA,YOUNGEST_MA
ABI,Abbotsbury Ironstone Formation,Kimmeridgian Age,Jurassic,Kimmeridgian Age,Jurassic,157.3,152.1
ADS,Ardnish Formation,Hettangian Age,Jurassic,Sinemurian Age,Jurassic,201.3,190.8
AMC,Ampthill Clay Formation,Oxfordian Age,Jurassic,Oxfordian Age,Jurassic,163.5,157.3
AMND,Amundsen Formation,Sinemurian Age,Jurassic,Pliensbachian Age,Jurassic,199.3,182.7
AOL,Athelstan Oolite Formation,Bathonian Age,Jurassic,Bathonian Age,Jurassic,168.3,166.1
ASLS,Aston Limestone Formation,Bajocian Age,Jurassic,Bajocian Age,Jurassic,170.3,168.3
BALR,Balintore Formation,Callovian Age,Jurassic,Oxfordian Age,Jurassic,166.1,157.3
BDS,Bridport Sand Formation,Toarcian Age,Jurassic,Toarcian Age,Jurassic,182.7,174.1
BEAS,Bearreraig Sandstone Formation,Toarcian Age,Jurassic,Bajocian Age,Jurassic,182.7,168.3
BETR,Beatrice Formation,Callovian Age,Jurassic,Callovian Age,Jurassic,166.1,163.5
BFB,Broadford Beds Formation,Hettangian Age,Jurassic,Sinemurian Age,Jurassic,201.3,190.8
BLF,Ballyleighery Formation,Sinemurian Age,Jurassic,Sinemurian Age,Jurassic,199.3,190.8
BLIH,Blue Lias Formation (Hebrides),Hettangian Age,Jurassic,Sinemurian Age,Jurassic,201.3,190.8
BLPL,Birdlip Limestone Formation,Aalenian Age,Jurassic,Aalenian Age,Jurassic,174.1,170.3
BMN,Brant Mudstone Formation [Obsolete Name And Code: Use CHAM],Sinemurian Age,Jurassic,Pliensbachian Age,Jurassic,199.3,182.7
BNLS,Beacon Limestone Formation,Pliensbachian Age,Jurassic,Toarcian Age,Jurassic,190.8,174.1
BOCO,Brora Coal Formation,Bathonian Age,Jurassic,Callovian Age,Jurassic,168.3,163.5
BRAE,Brae Formation,Kimmeridgian Age,Jurassic,Tithonian Age,Jurassic,157.3,145
BRARE,Brora Arenaceous Formation,Callovian Age,Jurassic,Oxfordian Age,Jurassic,166.1,157.3
BRARG,Brora Argillaceous Formation,Callovian Age,Jurassic,Oxfordian Age,Jurassic,166.1,157.3
BRKH,Breakish Formation,Hettangian Age,Jurassic,Sinemurian Age,Jurassic,201.3,190.8
BROM,Broom Formation,Aalenian Age,Jurassic,Aalenian Age,Jurassic,174.1,170.3
BURT,Burton Formation,Pliensbachian Age,Jurassic,Pliensbachian Age,Jurassic,190.8,182.7
BW,Blea Wyke Sandstone Formation,Toarcian Age,Jurassic,Toarcian Age,Jurassic,182.7,174.1
BWC,Blisworth Clay Formation,Bathonian Age,Jurassic,Bathonian Age,Jurassic,168.3,166.1
BWL,Blisworth Limestone Formation,Bathonian Age,Jurassic,Bathonian Age,Jurassic,168.3,166.1
CAYC,Cayton Clay Formation,Callovian Age,Jurassic,Callovian Age,Jurassic,166.1,163.5
CB,Cornbrash Formation,Bathonian Age,Jurassic,Callovian Age,Jurassic,168.3,163.5
CDI,Cleveland Ironstone Formation,Pliensbachian Age,Jurassic,Pliensbachian Age,Jurassic,190.8,182.7
CERD,Cerdic Formation,Toarcian Age,Jurassic,Toarcian Age,Jurassic,182.7,174.1
CFDO,Chalfield Oolite Formation,Bathonian Age,Jurassic,Bathonian Age,Jurassic,168.3,166.1
CHAM,Charmouth Mudstone Formation,Sinemurian Age,Jurassic,Pliensbachian Age,Jurassic,199.3,182.7
CHR,Cross Hands Rock,Bathonian Age,Jurassic,Bathonian Age,Jurassic,168.3,166.1
CLAV,Clavellata Formation,Oxfordian Age,Jurassic,Oxfordian Age,Jurassic,163.5,157.3
CLH,Cloughton Formation,Bajocian Age,Jurassic,Bajocian Age,Jurassic,170.3,168.3
CLR,Coral Rag Formation (Southern England),Oxfordian Age,Jurassic,Oxfordian Age,Jurassic,163.5,157.3
CNL,Chipping Norton Limestone Formation,Bathonian Age,Jurassic,Bathonian Age,Jurassic,168.3,166.1
COO,Coralline Oolite Formation,Oxfordian Age,Jurassic,Oxfordian Age,Jurassic,163.5,157.3
COOK,Cook Formation,Pliensbachian Age,Jurassic,Toarcian Age,Jurassic,190.8,174.1
CRGR,Corallian Formation [Offshore Areas],Oxfordian Age,Jurassic,Oxfordian Age,Jurassic,163.5,157.3
CSHF,Corsham Limestone Formation,Bathonian Age,Jurassic,Bathonian Age,Jurassic,168.3,166.1
CSMG,Camas Malag Formation,Hettangian Age,Jurassic,Hettangian Age,Jurassic,201.3,199.3
CUD,Cullaidh Shale Formation,Bajocian Age,Jurassic,Bajocian Age,Jurassic,170.3,168.3
CUMR,Cumnor Formation [Obsolete Name And Code: Use STFD],Oxfordian Age,Jurassic,Oxfordian Age,Jurassic,163.5,157.3
CYK,Clynekirkton Sandstone Formation,Callovian Age,Jurassic,Kimmeridgian Age,Jurassic,166.1,152.1
DARW,Darwin Formation,Pliensbachian Age,Jurassic,Toarcian Age,Jurassic,190.8,174.1
DGR,Dogger Formation,Aalenian Age,Jurassic,Aalenian Age,Jurassic,174.1,170.3
DRB,Dunrobin Bay Formation [See Also DUNR],Hettangian Age,Jurassic,Pliensbachian Age,Jurassic,201.3,182.7
DRKE,Drake Formation,Toarcian Age,Jurassic,Aalenian Age,Jurassic,182.7,170.3
DTM,Duntulm Formation,Bathonian Age,Jurassic,Bathonian Age,Jurassic,168.3,166.1
DYS,Dyrham Formation,Pliensbachian Age,Jurassic,Pliensbachian Age,Jurassic,190.8,182.7
EBB,Eller Beck Formation,Aalenian Age,Jurassic,Bajocian Age,Jurassic,174.1,168.3
ELR,Elsworth Rock Formation,Oxfordian Age,Jurassic,Oxfordian Age,Jurassic,163.5,157.3
EMLD,Emerald Formation,Bathonian Age,Jurassic,Oxfordian Age,Jurassic,168.3,157.3
ESA,Elgol Sandstone Formation,Bajocian Age,Jurassic,Bathonian Age,Jurassic,170.3,166.1
ETVE,Etive Formation,Aalenian Age,Jurassic,Bajocian Age,Jurassic,174.1,168.3
FE,Fuller's Earth Formation,Bathonian Age,Jurassic,Bathonian Age,Jurassic,168.3,166.1
FJEV,Fjerritslev Formation,Hettangian Age,Jurassic,Sinemurian Age,Jurassic,201.3,190.8
FLMR,Fulmar Formation,Callovian Age,Jurassic,Tithonian Age,Jurassic,166.1,145
FMB,Forest Marble Formation,Bathonian Age,Jurassic,Bathonian Age,Jurassic,168.3,166.1
FRC,Frome Clay Formation,Bathonian Age,Jurassic,Bathonian Age,Jurassic,168.3,166.1
GLF,Glentham Formation,Bathonian Age,Jurassic,Bathonian Age,Jurassic,168.3,166.1
GOF,Great Oolite Formation [Obsolete: See CFDO],Bathonian Age,Jurassic,Bathonian Age,Jurassic,168.3,166.1
GOL,"Great Oolite Limestone [Obsolete Name And Code: Use BWL, GOG or CFDO]",Bathonian Age,Jurassic,Bathonian Age,Jurassic,168.3,166.1
GRF,Grantham Formation,Aalenian Age,Jurassic,Aalenian Age,Jurassic,174.1,170.3
HADD,Haddenham Formation,Tithonian Age,Jurassic,Tithonian Age,Jurassic,152.1,145
HBB,Helmsdale Boulder Beds Formation,Kimmeridgian Age,Jurassic,Tithonian Age,Jurassic,157.3,145
HDST,Hudleston Formation,Bajocian Age,Jurassic,Bathonian Age,Jurassic,170.3,166.1
HMB,Hampen Formation,Bathonian Age,Jurassic,Bathonian Age,Jurassic,168.3,166.1
HTHE,Heather Formation,Bathonian Age,Jurassic,Oxfordian Age,Jurassic,168.3,157.3
HUGI,Hugin Formation,Bajocian Age,Jurassic,Oxfordian Age,Jurassic,170.3,157.3
HYB,Hazelbury Bryan Formation,Oxfordian Age,Jurassic,Oxfordian Age,Jurassic,163.5,157.3
HYSA,Horsehay Sand Formation,Bajocian Age,Jurassic,Bathonian Age,Jurassic,170.3,166.1
IDA,Ida Formation,Pliensbachian Age,Jurassic,Pliensbachian Age,Jurassic,190.8,182.7
INOW,Inferior Oolite Formation (Wessex)[Obsolete Name And Code Use: INO],Aalenian Age,Jurassic,Bathonian Age,Jurassic,174.1,166.1
KC,Kimmeridge Clay Formation,Kimmeridgian Age,Jurassic,Kimmeridgian Age,Jurassic,157.3,152.1
KLB,Kellaways Formation,Callovian Age,Jurassic,Callovian Age,Jurassic,166.1,163.5
KML,Kilmaluag Formation,Bathonian Age,Jurassic,Bathonian Age,Jurassic,168.3,166.1
KTON,Kingston Formation,Oxfordian Age,Jurassic,Oxfordian Age,Jurassic,163.5,157.3
LASH,Lealt Shale Formation,Bathonian Age,Jurassic,Bathonian Age,Jurassic,168.3,166.1
LCG,Lower Calcareous Grit Formation,Oxfordian Age,Jurassic,Oxfordian Age,Jurassic,163.5,157.3
LDN,Lansdown Clay Formation,Bathonian Age,Jurassic,Bathonian Age,Jurassic,168.3,166.1
LDYW,Lady's Walk Formation [See Also LAWA],Sinemurian Age,Jurassic,Pliensbachian Age,Jurassic,199.3,182.7
