LEX_CODE_LKD,PREDOMINANT_AGE_CODE,RED,GREEN,BLUE,LUMINANCE
LEKI,KT,198,222,126,210
LEHO,KO,211,228,136,218
HAE,DL,229,181,109,186
BUSS,P,231,102,73,127
AYB,TE,161,96,166,115
ALNS,JO,186,228,250,221
GORS,JO,186,228,250,221
PASA,JD,199,234,253,228
WDWR,JO,186,228,250,221
CERD,JT,144,207,242,196
RGST,TE,161,96,166,115
GLDG,Q,254,248,154,242
ROBS,CW,152,195,201,186
DUSA,CW,152,195,201,186
LCBE,QP,254,240,191,239
FOUN,FH,145,216,238,202
ESGM,O,0,167,141,130
ESGR,O,0,167,141,130
THNX,QP,254,240,191,239
TECG,QP,254,240,191,239
GLO,QP,254,240,191,239
GLOF,QP,254,240,191,239
VFLG,QP,254,240,191,239
RESA,T,144,81,160,100
DBLL,AZ,253,187,100,195
LEMU,TA,190,140,193,154
N2LS,CN,195,196,138,192
BAQU,AZ,253,187,100,195
APP,AZ,253,187,100,195
ARGY,AZ,253,187,100,195
HNGR,Q,254,248,154,242
RMT,Q,254,248,154,242
SND,AD,254,216,135,218
CHK,JI,212,240,252,235
MOGS,AZ,253,187,100,195
GLPE,AZ,253,187,100,195
KYQU,AZ,253,187,100,195
COPH,AZ,253,187,100,195
SBUS,AZ,253,187,100,195
DOUG,AZ,253,187,100,195
ELT,SU,189,229,221,220
TOFU,AZ,253,187,100,195
KHUV,AZ,253,187,100,195
CLAS,AZ,253,187,100,195
GBPE,AZ,253,187,100,195
LQL,SH,202,232,222,224
NOL,SH,202,232,222,224
BEPE,AZ,253,187,100,195
GLSU,AZ,253,187,100,195
SABD,QH,254,243,239,245
CWSG,QP,254,240,191,239
SILU,S,180,222,202,212
LOC,PLC,233,121,99,143
WHT,TC,198,170,210,179
WYM,TD,200,151,198,165
CHA,AD,254,216,135,218
ESH,CN,195,196,138,192
ETM,CW,152,195,201,186
LYM,SR,164,217,201,204
NWO,DO,229,188,122,191
OAK,SG,201,233,230,225
CYH,SU,189,229,221,220
YSY,AZ,253,187,100,195
LCH,PLC,233,121,99,143
HAT,DV,243,224,158,223
TEMA3,KC,233,238,154,231
TEMA4,KC,233,238,154,231
CSMA2,KC,233,238,154,231
PBMA1,KC,233,238,154,231
WHMA,KC,233,238,154,231
COFL,KC,233,238,154,231
MCMA3,KC,233,238,154,231
SCMA2,KC,233,238,154,231
KEMA,KS,222,230,145,222
OVMA,KC,233,238,154,231
RPMA2,KC,233,238,154,231
RTMA1,KC,233,238,154,231
PEMA,KC,233,238,154,231
MCFL,KC,233,238,154,231
MCMA2,KC,233,238,154,231
BUMA6,KS,222,230,145,222
BTMA1,KO,211,228,136,218
CUFL,KO,211,228,136,218
TNFL,KO,211,228,136,218
BPFL,KS,222,230,145,222
SBFL,KS,222,230,145,222
BUMA2,KS,222,230,145,222
BUMA3,KS,222,230,145,222
CFFL,KT,198,222,126,210
NAMA2,KO,211,228,136,218
CLMA2,KO,211,228,136,218
CLHG,KO,211,228,136,218
BEMA,KO,211,228,136,218
BHMA,KO,211,228,136,218
NPMA3,KT,198,222,126,210
GLMA1,KT,198,222,126,210
SUMA1,KT,198,222,126,210
CAFL,KT,198,222,126,210
BRMA1,KT,198,222,126,210
BLMA,KC,233,238,154,231
LEFL,KT,198,222,126,210
SOMA,KT,198,222,126,210
LENO,KT,198,222,126,210
MEMA3,KE,187,217,119,204
WOT,KR,147,205,131,187
DURN,KR,147,205,131,187
CTH,GP,250,179,123,190
TCAL,AZ,253,187,100,195
EGSG,QP,254,240,191,239
WHGR,QPE,254,239,188,238
HOMA1,KT,198,222,126,210
HOMA4,KT,198,222,126,210
HOMA6,KT,198,222,126,210
GGMA3,KT,198,222,126,210
LIMA1,KT,198,222,126,210
LIMA2,KT,198,222,126,210
DASI,Q,254,248,154,242
HEBO,Q,254,248,154,242
SBDG,QH,254,243,239,245
T2T3,Q,254,248,154,242
FOMA,KE,187,217,119,204
PIMA,KE,187,217,119,204
KDS,CV,172,189,137,181
KDS,CV,172,189,137,182
RDCF,TA,190,140,193,154
DLN,CV,172,189,137,181
DLN,CV,172,189,137,182
PGW,JD,199,234,253,228
ROMG,S,180,222,202,212
ASTR,AZ,253,187,100,195
USHP,AZ,253,187,100,195
IONA,AZ,253,187,100,195
CHGR,NP,255,248,150,242
ALCU,JD,199,234,253,228
JUSL,AZ,253,187,100,195
SCCO,AZ,253,187,100,195
PNN,DL,229,181,109,186
MKHA,TA,190,140,193,154
KPHA,TC,198,170,210,179
BRTU,AD,254,216,135,218
PN,AD,254,216,135,218
HFPM,AZ,253,187,100,195
GVBR,AZ,253,187,100,195
OUB,AZ,253,187,100,195
HFA,KP,194,224,164,213
THAM,GE,252,189,153,200
M,AZ,253,187,100,195
CEHI,AZ,253,187,100,195
GLEN,AZ,253,187,100,195
BOSA,GE,252,189,153,200
HERN,KT,198,222,126,210
HIDR,KE,187,217,119,204
CNYB,CW,152,195,201,186
SKSA,KP,194,224,164,213
RODY,KA,207,230,176,221
BETR,JC,186,228,240,220
CARR,JC,186,228,240,220
PIBR,JO,186,228,250,221
UPRH,AZ,253,187,100,195
DBG,SU,189,229,221,220
UO,AD,254,216,135,218
DU,PLC,233,121,99,143
CNFL,DI,242,211,146,212
YEL,P,231,102,73,127
ALBR,P,231,102,73,127
CRSP,AZ,253,187,100,195
ALGS,AZ,253,187,100,195
CUST,AZ,253,187,100,195
DHLM,DL,229,181,109,186
CRLA,DL,229,181,109,186
GALM,DL,229,181,109,186
WKSA,TC,198,170,210,179
CUQU,AZ,253,187,100,195
MOML,DL,229,181,109,186
GO,JE,115,198,238,183
KWLM,DL,229,181,109,186
GOLM,DL,229,181,109,186
DRML,DL,229,181,109,186
STAR,GE,252,189,153,200
BARO,GE,252,189,153,200
LFI,GE,252,189,153,200
DALN,AZ,253,187,100,195
GOWK,CV,172,189,137,181
GOWK,CV,172,189,137,182
BCT,AD,254,216,135,218
SYB,AD,254,216,135,218
GYA,AD,254,216,135,218
CVB,AD,254,216,135,218
IVH,AD,254,216,135,218
WARP,QH,254,243,239,245
LADD,QH,254,243,239,245
TCHD,QH,254,243,239,245
BIN,DP,232,198,134,200
GFTD,QP,254,240,191,239
ETIL,Q,254,248,154,242
BTN,DA,242,235,207,234
PEE,JT,144,207,242,196
SAMD,QH,254,243,239,245
NOHE,TE,161,96,166,115
MOSI,TE,161,96,166,115
CASI,JO,186,228,250,221
STBA,JC,186,228,240,220
SKU,JN,175,224,241,215
WEM,DU,241,225,176,225
WEN,SW,177,223,210,212
WEST,TR,224,196,221,204
WD,G,249,170,111,183
WDB,SL,151,213,200,199
WEC,CV,172,189,137,181
WEC,CV,172,189,137,182
VEB,DA,242,235,207,234
VTS,JN,175,224,241,215
UWC,KB,185,220,156,208
UWH,SD,214,237,231,231
UWT,AZ,253,187,100,195
WAM,G,249,170,111,183
VLGR,Q,254,248,154,242
VPG,AP,240,89,120,123
UVC,CV,172,189,137,181
